rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
29,FR,fr_zones_058,48.8553,5.5455,-0.1718,ws,3,8760
30,FR,fr_zones_056,48.8553,4.2273,-0.1662,ws3,3,8760
31,FR,fr_zones_059,48.8553,6.2045,-0.1659,ws3,3,8760
32,FR,fr_zones_190,45.7025,6.5341,-0.1654,ws,0,8760
33,FR,fr_zones_034,49.3057,1.9205,-0.1598,ws3,3,8760
34,FR,fr_zones_223,44.8016,5.875,-0.1597,ws,0,8760
35,FR,fr_zones_017,49.7561,0.9318,-0.1592,ws3,3,8760
36,FR,fr_zones_035,49.3057,2.5795,-0.1578,ws3,3,8760
37,FR,fr_zones_032,49.3057,0.6023,-0.1549,ws3,3,8760
38,FR,fr_zones_014,49.7561,-1.0455,-0.1529,ws3,3,8760
39,FR,fr_zones_254,43.9008,7.1932,-0.1511,ws,0,8760
40,FR,fr_zones_061,48.8553,7.5227,-0.1504,ws3,0,8760
41,FR,fr_zones_057,48.8553,4.8864,-0.1501,ws3,3,8760
42,FR,fr_zones_013,49.7561,-1.7045,-0.1484,ws3,3,8760
43,FR,fr_zones_054,48.8553,2.9091,-0.1481,ws3,3,8760
44,FR,fr_zones_012,49.7561,-2.3636,-0.1459,ws,3,8760
45,FR,fr_zones_172,46.1529,6.2045,-0.1447,ws,0,8760
46,FR,fr_zones_077,48.4049,5.2159,-0.1436,ws,3,8760
47,FR,fr_zones_052,48.8553,1.5909,-0.1411,ws3,3,8760
48,FR,fr_zones_078,48.4049,5.875,-0.1405,ws3,3,8760
49,FR,fr_zones_053,48.8553,2.25,-0.1401,ws3,3,8760
50,FR,fr_zones_075,48.4049,3.8977,-0.1387,ws3,3,8760
51,FR,fr_zones_047,48.8553,-1.7045,-0.1383,ws3,3,8760
52,FR,fr_zones_029,49.3057,-1.375,-0.137,ws3,3,8760
53,FR,fr_zones_051,48.8553,0.9318,-0.1368,ws3,3,8760
